month,day_of_week,hour,ed_occupancy_percent,inpatient_bed_occupancy_percent,boarding_count,boarding_hours_avg,admission_wait_pressure,bed_pressure_level,data_source_note
1,4,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,4,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,4,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,5,8,42,81,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,5,12,96,91,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,5,18,88,89,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,5,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,6,8,110,99,10,4.5,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,6,12,96,91,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,6,18,110,97,7,3.1,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,6,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,0,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,0,12,110,91,6,2.7,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,0,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,0,22,110,99,12,5.4,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,1,8,94,86,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,1,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,1,18,110,92,7,3.1,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,1,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,2,8,39,75,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,2,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,2,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,2,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,3,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,3,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,3,18,72,81,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,3,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,4,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,4,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,4,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,4,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,5,8,42,81,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,5,12,31,78,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,5,18,91,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,5,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,6,8,102,92,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,6,12,96,91,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,6,18,30,76,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
4,6,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,0,8,110,99,12,5.4,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,0,12,105,88,4,1.8,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,0,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,0,22,110,97,9,4.0,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,1,8,93,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,1,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,1,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,1,22,82,83,1,0.5,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,2,8,48,77,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,2,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,2,18,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,2,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,3,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,3,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,3,18,110,99,11,5.0,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,3,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,4,8,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,4,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,4,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,4,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,5,8,102,92,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,5,12,110,95,5,2.2,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,5,18,91,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,5,22,46,81,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,6,8,63,85,0,0.0,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,6,12,59,84,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,6,18,53,83,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
7,6,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,0,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,0,12,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,0,18,83,83,1,0.5,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,0,22,32,74,0,0.0,Low,Low,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,1,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,1,12,42,76,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,1,18,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,1,22,85,84,1,0.5,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,2,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,2,12,59,79,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,2,18,110,90,5,2.2,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,2,22,110,95,8,3.6,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,3,8,97,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,3,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,3,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,3,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,4,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,4,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,4,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,4,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,5,8,102,92,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,5,12,72,86,0,0.0,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,5,18,30,78,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,5,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,6,8,88,89,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,6,12,63,85,0,0.0,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,6,18,65,85,0,0.0,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
10,6,22,92,90,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
